sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,infer_ms
patient0007_4CH_ES_f000__la,patient0007_4CH_ES_f000,patient0007_4CH_ES_f000__la,3,LA,0,#2ca02c,590,487,"[357, 199, 486, 320]",0.7877534861215908,0.6498294506135062,245.41408399818465
patient0008_2CH_ED_f000__lv,patient0008_2CH_ED_f000,patient0008_2CH_ED_f000__lv,1,LV,0,#1f77b4,787,649,"[118, 254, 463, 452]",0.8567825383993687,0.749448435820605,265.1763340109028
patient0008_2CH_ED_f000__la,patient0008_2CH_ED_f000,patient0008_2CH_ED_f000__la,3,LA,0,#2ca02c,787,649,"[460, 286, 599, 408]",0.7052989255213035,0.5447581217197157,241.39854201348498
patient0008_2CH_ES_f000__lv,patient0008_2CH_ES_f000,patient0008_2CH_ES_f000__lv,1,LV,0,#1f77b4,787,649,"[138, 269, 446, 438]",0.8416790836983427,0.7266372141372852,242.7871249965392
patient0008_2CH_ES_f000__la,patient0008_2CH_ES_f000,patient0008_2CH_ES_f000__la,3,LA,0,#2ca02c,787,649,"[439, 299, 613, 415]",0.7888501742161015,0.6513233601843204,251.72575004398823
patient0008_4CH_ED_f000__lv,patient0008_4CH_ED_f000,patient0008_4CH_ED_f000__lv,1,LV,0,#1f77b4,787,649,"[150, 288, 465, 505]",0.8697662816133985,0.7695455085652587,247.4227499915287
patient0008_4CH_ED_f000__la,patient0008_4CH_ED_f000,patient0008_4CH_ED_f000__la,3,LA,0,#2ca02c,787,649,"[450, 310, 598, 472]",0.8448785052194964,0.7314196030783053,246.03158299578354
patient0008_4CH_ES_f000__lv,patient0008_4CH_ES_f000,patient0008_4CH_ES_f000__lv,1,LV,0,#1f77b4,787,649,"[155, 309, 425, 490]",0.8412079022148715,0.7259351386868809,246.23745796270669
patient0008_4CH_ES_f000__la,patient0008_4CH_ES_f000,patient0008_4CH_ES_f000__la,3,LA,0,#2ca02c,787,649,"[423, 295, 604, 475]",0.8479454571434714,0.7360289166874319,246.120041992981
patient0009_2CH_ED_f000__lv,patient0009_2CH_ED_f000,patient0009_2CH_ED_f000__lv,1,LV,0,#1f77b4,551,454,"[89, 172, 398, 432]",0.9168411037107582,0.8464511595221588,245.33045798307285
patient0009_2CH_ED_f000__la,patient0009_2CH_ED_f000,patient0009_2CH_ED_f000__la,3,LA,0,#2ca02c,551,454,"[360, 259, 453, 432]",0.7953689759037108,0.6602594155339426,248.91483300598338
patient0009_2CH_ES_f000__lv,patient0009_2CH_ES_f000,patient0009_2CH_ES_f000__lv,1,LV,0,#1f77b4,551,454,"[93, 161, 372, 412]",0.8712540019805721,0.771877821502228,241.57912499504164
patient0009_2CH_ES_f000__la,patient0009_2CH_ES_f000,patient0009_2CH_ES_f000__la,3,LA,0,#2ca02c,551,454,"[342, 247, 453, 432]",0.8302788844622129,0.7098092643053568,254.1450409917161
patient0009_4CH_ED_f000__lv,patient0009_4CH_ED_f000,patient0009_4CH_ED_f000__lv,1,LV,0,#1f77b4,551,454,"[103, 171, 381, 423]",0.8763672335013541,0.779940973270319,259.3142500263639
patient0009_4CH_ED_f000__la,patient0009_4CH_ED_f000,patient0009_4CH_ED_f000__la,3,LA,0,#2ca02c,551,454,"[380, 220, 453, 397]",0.6837128215966592,0.5194252689039015,242.9582080221735
patient0009_4CH_ES_f000__lv,patient0009_4CH_ES_f000,patient0009_4CH_ES_f000__lv,1,LV,0,#1f77b4,551,454,"[97, 197, 365, 409]",0.8807040865439847,0.7868375788353291,249.20558399753645
patient0009_4CH_ES_f000__la,patient0009_4CH_ES_f000,patient0009_4CH_ES_f000__la,3,LA,0,#2ca02c,551,454,"[355, 203, 453, 392]",0.7738557435441589,0.6311294445737676,257.2864580433816
patient0010_2CH_ED_f000__lv,patient0010_2CH_ED_f000,patient0010_2CH_ED_f000__lv,1,LV,0,#1f77b4,669,552,"[85, 263, 335, 419]",0.849213151224521,0.7379413069659194,247.51420796383172
patient0010_2CH_ED_f000__la,patient0010_2CH_ED_f000,patient0010_2CH_ED_f000__la,3,LA,0,#2ca02c,669,552,"[292, 314, 404, 442]",0.8661956281740637,0.7639727361248646,240.81650003790855
patient0010_2CH_ES_f000__lv,patient0010_2CH_ES_f000,patient0010_2CH_ES_f000__lv,1,LV,0,#1f77b4,669,552,"[94, 295, 301, 409]",0.7564855856785361,0.6083448466429354,243.20870800875127
patient0010_2CH_ES_f000__la,patient0010_2CH_ES_f000,patient0010_2CH_ES_f000__la,3,LA,0,#2ca02c,669,552,"[279, 321, 417, 450]",0.8535158581718917,0.744463727872444,243.0775830289349
patient0010_4CH_ED_f000__lv,patient0010_4CH_ED_f000,patient0010_4CH_ED_f000__lv,1,LV,0,#1f77b4,669,552,"[89, 296, 319, 450]",0.8103236708173622,0.6811295231654781,253.1186249689199
